match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,total_goals_team1,total_goals_team2
961,2022,Qatar,10 December 2022,Quarter-final,Quarter-finals,,Uruguay,France,0,1,1,2,,,,,France,Normal Time,Al Bayt Stadium,Al Khor,1,2
962,2022,Qatar,13 December 2022,Semi-final,Semi-finals,,Uruguay,Croatia,2,0,3,0,,,,,Argentina,Normal Time,Lusail Iconic Stadium,Lusail,3,0
963,2022,Qatar,14 December 2022,Semi-final,Semi-finals,,Uruguay,Morocco,1,0,2,0,,,,,France,Normal Time,Al Bayt Stadium,Al Khor,2,0
964,2022,Qatar,17 December 2022,Third Place Play-off,Match for third place,,Uruguay,Morocco,2,1,2,1,,,,,Croatia,Normal Time,Khalifa International Stadium,Al Rayyan,2,1
965,2022,Qatar,18 December 2022,Final,Final,,Uruguay,France,2,0,2,2,3,3,4,2,Argentina,Penalties,Lusail Iconic Stadium,Lusail,3,3
966,2026,"Canada, Mexico, United States",11 June 2026,Group Stage,Matchday 1,Group A,Uruguay,South Africa,1,0,2,0,,,,,Mexico,Normal Time,Estadio Azteca,Mexico City,2,0
967,2026,"Canada, Mexico, United States",11 June 2026,Group Stage,Matchday 1,Group A,Uruguay,Czech Republic,0,0,2,1,,,,,South Korea,Normal Time,Estadio Guadalajara,Zapopan,2,1
968,2026,"Canada, Mexico, United States",18 June 2026,Group Stage,Matchday 8,Group A,Uruguay,South Africa,1,0,1,1,,,,,Draw,Draw,Mercedes-Benz Stadium,Atlanta,1,1
969,2026,"Canada, Mexico, United States",18 June 2026,Group Stage,Matchday 8,Group A,Uruguay,South Korea,0,0,1,0,,,,,Mexico,Normal Time,Estadio Guadalajara,Zapopan,1,0
970,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group A,Uruguay,Mexico,0,0,0,3,,,,,Mexico,Normal Time,Estadio Azteca,Mexico City,0,3
971,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group A,Uruguay,South Korea,0,0,1,0,,,,,South Africa,Normal Time,Estadio Monterrey,Guadalupe,1,0
972,2026,"Canada, Mexico, United States",12 June 2026,Group Stage,Matchday 2,Group B,Uruguay,Bosnia & Herzegovina,0,1,1,1,,,,,Draw,Draw,BMO Field,Toronto,1,1
973,2026,"Canada, Mexico, United States",13 June 2026,Group Stage,Matchday 3,Group B,Uruguay,Switzerland,0,1,1,1,,,,,Draw,Draw,Levi's Stadium,Santa Clara,1,1
974,2026,"Canada, Mexico, United States",18 June 2026,Group Stage,Matchday 8,Group B,Uruguay,Bosnia & Herzegovina,0,0,4,1,,,,,Switzerland,Normal Time,SoFi Stadium,Inglewood,4,1
975,2026,"Canada, Mexico, United States",18 June 2026,Group Stage,Matchday 8,Group B,Uruguay,Qatar,3,0,6,0,,,,,Canada,Normal Time,BC Place,Vancouver,6,0
976,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group B,Uruguay,Canada,0,0,2,1,,,,,Switzerland,Normal Time,BC Place,Vancouver,2,1
977,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group B,Uruguay,Qatar,2,1,3,1,,,,,Bosnia & Herzegovina,Normal Time,Lumen Field,Seattle,3,1
978,2026,"Canada, Mexico, United States",13 June 2026,Group Stage,Matchday 3,Group C,Uruguay,Morocco,1,1,1,1,,,,,Draw,Draw,MetLife Stadium,East Rutherford,1,1
979,2026,"Canada, Mexico, United States",13 June 2026,Group Stage,Matchday 3,Group C,Uruguay,Scotland,0,1,0,1,,,,,Scotland,Normal Time,Gillette Stadium,Foxborough,0,1
980,2026,"Canada, Mexico, United States",19 June 2026,Group Stage,Matchday 9,Group C,Uruguay,Morocco,0,1,0,1,,,,,Morocco,Normal Time,Gillette Stadium,Foxborough,0,1
981,2026,"Canada, Mexico, United States",19 June 2026,Group Stage,Matchday 9,Group C,Uruguay,Haiti,3,0,3,0,,,,,Brazil,Normal Time,Lincoln Financial Field,Philadelphia,3,0
982,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group C,Uruguay,Brazil,0,2,0,3,,,,,Brazil,Normal Time,Hard Rock Stadium,Miami Gardens,0,3
983,2026,"Canada, Mexico, United States",24 June 2026,Group Stage,Matchday 14,Group C,Uruguay,Haiti,2,2,4,2,,,,,Morocco,Normal Time,Mercedes-Benz Stadium,Atlanta,4,2
984,2026,"Canada, Mexico, United States",12 June 2026,Group Stage,Matchday 2,Group D,Uruguay,Paraguay,3,0,4,1,,,,,USA,Normal Time,SoFi Stadium,Inglewood,4,1
